Date,HomeTeam,AwayTeam,AvgBH,AvgBD,AvgBA,FTRn,FTR
2,Southampton,Burnley,1.7716666666666667,3.7083333333333335,4.746666666666667,-1,A
2,Norwich,Liverpool,10.216666666666667,5.903333333333333,1.285,-1,A
2,Aston Villa,Tottenham,4.026666666666666,3.783333333333333,1.87,-1,A
2,Arsenal,Newcastle,1.42,4.595,7.916666666666667,4,H
2,Chelsea,Man United,1.8550000000000002,3.583333333333334,4.386666666666667,-2,A
2,Man City,West Ham,1.1283333333333332,9.186666666666667,18.168333333333333,2,H
2,Chelsea,Tottenham,1.7300000000000002,3.9399999999999995,4.716666666666667,1,H
2,Burnley,Bournemouth,2.1350000000000002,3.27,3.6933333333333334,3,H
2,Crystal Palace,Newcastle,1.958333333333333,3.2966666666666664,4.366666666666667,1,H
2,Sheffield United,Brighton,1.9466666666666663,3.346666666666667,4.324999999999999,0,D
2,Southampton,Aston Villa,1.6283333333333339,4.22,5.181666666666667,2,H
2,Leicester,Man City,4.511666666666667,4.146666666666667,1.7183333333333335,-1,A
2,Man United,Watford,1.5966666666666667,3.945,5.966666666666666,3,H
2,Wolves,Norwich,1.5166666666666666,4.233333333333333,6.616666666666667,3,H
2,Arsenal,Everton,2.03,3.5883333333333334,3.6333333333333333,1,H
2,Liverpool,West Ham,1.165,7.698333333333333,16.433333333333334,1,H
2,Norwich,Leicester,4.638333333333333,4.023333333333333,1.723333333333333,1,H
2,Brighton,Crystal Palace,2.0733333333333333,3.2416666666666667,3.921666666666667,-1,A
2,Bournemouth,Chelsea,4.6866666666666665,3.811666666666667,1.755,0,D
2,Newcastle,Burnley,2.6316666666666664,3.106666666666667,2.9166666666666665,0,D
2,West Ham,Southampton,2.703333333333333,3.5516666666666663,2.55,2,H
2,Watford,Liverpool,7.486666666666667,4.803333333333334,1.4216666666666666,3,H
3,Everton,Man United,2.526666666666667,3.328333333333333,2.8516666666666666,0,D
3,Tottenham,Wolves,2.436666666666667,3.17,3.1183333333333336,-1,A
3,Liverpool,Bournemouth,1.2483333333333333,6.156666666666666,12.248333333333335,1,H
3,Arsenal,West Ham,1.5566666666666666,4.3500000000000005,5.7749999999999995,1,H
3,Crystal Palace,Watford,2.5700000000000003,3.16,2.9600000000000004,1,H
3,Sheffield United,Norwich,1.655,3.7449999999999997,5.761666666666667,1,H
3,Southampton,Newcastle,1.6616666666666668,3.9133333333333336,5.273333333333333,-1,A
3,Wolves,Brighton,1.6416666666666666,3.9133333333333336,5.5616666666666665,0,D
3,Burnley,Tottenham,2.706666666666667,3.28,2.688333333333333,0,D
3,Chelsea,Everton,1.8466666666666667,3.736666666666667,4.221666666666667,4,H
3,Man United,Man City,4.991666666666666,4.234999999999999,1.6366666666666667,2,H
3,Leicester,Aston Villa,1.375,5.066666666666666,8.173333333333334,4,H
6,Aston Villa,Sheffield United,3.2883333333333336,3.345,2.2466666666666666,0,D
6,Man City,Arsenal,1.346666666666667,5.441666666666666,8.261666666666667,3,H
6,Norwich,Southampton,2.876666666666667,3.4299999999999997,2.471666666666667,-3,A
6,Tottenham,Man United,3.015,3.393333333333333,2.396666666666667,0,D
6,Watford,Leicester,3.571666666666667,3.533333333333333,2.083333333333333,0,D
6,Brighton,Arsenal,3.0799999999999996,3.353333333333333,2.37,1,H
6,West Ham,Wolves,3.608333333333334,3.375,2.14,-2,A
6,Bournemouth,Crystal Palace,2.4916666666666667,3.2449999999999997,2.99,-2,A
6,Newcastle,Sheffield United,3.3316666666666666,3.1016666666666666,2.3633333333333333,3,H
6,Aston Villa,Chelsea,6.063333333333333,4.461666666666666,1.5216666666666667,-1,A
6,Everton,Liverpool,5.741666666666667,4.236666666666666,1.571666666666667,0,D
6,Man City,Burnley,1.125,8.986666666666666,19.586666666666666,5,H
6,Leicester,Brighton,1.6300000000000001,3.928333333333333,5.666666666666667,0,D
6,Tottenham,West Ham,1.66,4.003333333333333,5.153333333333333,2,H
6,Man United,Sheffield United,1.4149999999999998,4.378333333333333,8.72,3,H
6,Newcastle,Aston Villa,2.3216666666666668,3.315,3.203333333333333,0,D
6,Norwich,Everton,3.9433333333333334,3.6516666666666673,1.9233333333333331,-1,A
6,Wolves,Bournemouth,1.5683333333333334,4.006666666666667,6.201666666666667,1,H
6,Liverpool,Crystal Palace,1.2366666666666666,6.145,13.493333333333334,4,H
6,Burnley,Watford,3.0066666666666664,3.216666666666667,2.485,1,H
6,Southampton,Arsenal,2.6283333333333334,3.4800000000000004,2.64,-2,A
6,Chelsea,Man City,4.158333333333334,4.04,1.7916666666666667,1,H
6,Aston Villa,Wolves,4.821666666666666,3.676666666666667,1.7683333333333335,-1,A
6,Watford,Southampton,2.4933333333333336,3.315,2.905,-2,A
6,Crystal Palace,Burnley,2.2866666666666666,3.1633333333333336,3.393333333333333,-1,A
6,Brighton,Man United,6.368333333333333,3.8616666666666664,1.5983333333333334,-3,A
7,Arsenal,Norwich,1.4433333333333334,4.7,7.22,4,H
7,Bournemouth,Newcastle,2.3916666666666666,3.1633333333333336,3.216666666666667,-3,A
7,Everton,Leicester,2.5316666666666667,3.285,2.8899999999999992,1,H
7,West Ham,Chelsea,5.609999999999999,4.256666666666667,1.59,1,H
7,Sheffield United,Tottenham,4.169999999999999,3.4149999999999996,1.96,2,H
7,Man City,Liverpool,2.0633333333333335,3.8433333333333333,3.32,4,H
7,Norwich,Brighton,3.3866666666666667,3.33,2.215,-1,A
7,Leicester,Crystal Palace,1.663333333333333,3.6100000000000008,5.905,3,H
7,Man United,Bournemouth,1.1666666666666667,7.376666666666668,18.116666666666667,3,H
7,Wolves,Arsenal,2.263333333333333,3.305,3.33,-2,A
7,Chelsea,Watford,1.42,4.6000000000000005,8.181666666666667,3,H
7,Burnley,Sheffield United,2.91,2.966666666666667,2.731666666666667,0,D
7,Newcastle,West Ham,2.645,3.276666666666667,2.7366666666666664,0,D
7,Liverpool,Aston Villa,1.3366666666666667,5.468333333333334,8.615,2,H
7,Southampton,Man City,9.128333333333334,5.585,1.3166666666666667,1,H
7,Tottenham,Everton,2.1066666666666665,3.5400000000000005,3.455,1,H
7,Crystal Palace,Chelsea,8.518333333333333,4.491666666666666,1.4116666666666668,-1,A
7,Watford,Norwich,1.74,3.6750000000000003,5.058333333333334,1,H
7,Arsenal,Leicester,2.36,3.4216666666666664,3.026666666666667,0,D
7,Man City,Newcastle,1.12,9.083333333333334,23.698333333333334,5,H
7,Sheffield United,Wolves,3.9716666666666662,3.0833333333333335,2.1316666666666664,1,H
7,West Ham,Burnley,2.0083333333333333,3.418333333333333,3.908333333333333,-1,A
7,Brighton,Liverpool,6.038333333333333,4.26,1.5516666666666667,-2,A
7,Bournemouth,Tottenham,5.013333333333333,3.9933333333333336,1.6749999999999998,0,D
7,Everton,Southampton,2.0516666666666663,3.5033333333333334,3.626666666666667,0,D
7,Aston Villa,Man United,9.403333333333334,5.136666666666667,1.3383333333333336,-3,A
7,Norwich,West Ham,3.7983333333333333,3.6350000000000002,1.9766666666666666,-4,A
7,Watford,Newcastle,1.8150000000000002,3.5666666666666664,4.64,1,H
7,Liverpool,Burnley,1.2433333333333334,6.328333333333333,11.881666666666666,0,D
7,Sheffield United,Chelsea,6.156666666666666,3.866666666666666,1.6033333333333333,3,H
7,Brighton,Man City,10.465,5.571666666666666,1.295,-5,A
7,Wolves,Everton,2.043333333333333,3.266666666666666,3.9916666666666667,3,H
7,Aston Villa,Crystal Palace,2.263333333333333,3.3216666666666668,3.28,2,H
7,Tottenham,Arsenal,2.6249999999999996,3.4266666666666663,2.6816666666666666,1,H
7,Bournemouth,Leicester,5.156666666666666,3.813333333333333,1.6916666666666664,3,H
7,Man United,Southampton,1.2866666666666666,5.715000000000001,10.575000000000001,0,D
7,Chelsea,Norwich,1.12,9.315,20.508333333333333,1,H
7,Burnley,Wolves,4.648333333333333,3.2866666666666666,1.9016666666666664,0,D
7,Man City,Bournemouth,1.1500000000000001,8.471666666666666,16.348333333333333,1,H
7,Newcastle,Tottenham,4.5249999999999995,3.748333333333333,1.79,-2,A
7,Arsenal,Liverpool,3.8699999999999997,3.888333333333333,1.883333333333333,1,H
7,Everton,Aston Villa,2.0,3.56,3.7466666666666666,0,D
7,Leicester,Sheffield United,2.0066666666666664,3.35,4.028333333333333,2,H
7,Crystal Palace,Man United,9.868333333333334,4.921666666666667,1.3483333333333334,-2,A
7,Southampton,Brighton,2.1666666666666665,3.286666666666667,3.5316666666666667,0,D
7,West Ham,Watford,2.3933333333333335,3.0566666666666666,3.3016666666666663,2,H
7,Norwich,Burnley,3.3333333333333326,3.313333333333333,2.2416666666666667,-2,A
7,Bournemouth,Southampton,2.393333333333333,3.596666666666667,2.8449999999999993,-2,A
7,Tottenham,Leicester,2.313333333333333,3.3466666666666662,3.141666666666666,3,H
7,Brighton,Newcastle,1.9316666666666666,3.405,4.243333333333333,0,D
7,Sheffield United,Everton,2.171666666666667,3.2616666666666667,3.5533333333333332,-1,A
7,Wolves,Crystal Palace,1.5016666666666667,3.953333333333333,7.805,2,H
7,Watford,Man City,8.928333333333333,5.63,1.32,-4,A
7,Aston Villa,Arsenal,3.2566666666666673,3.748333333333333,2.115,1,H
7,Man United,West Ham,1.2433333333333334,6.353333333333334,11.780000000000001,0,D
7,Liverpool,Chelsea,2.0383333333333336,3.7016666666666667,3.481666666666666,2,H
7,Arsenal,Watford,1.9166666666666667,3.856666666666667,3.7733333333333334,1,H
7,Burnley,Brighton,2.3266666666666667,3.4,3.09,-1,A
7,Chelsea,Wolves,1.8483333333333336,3.7266666666666666,4.211666666666667,2,H
7,Crystal Palace,Tottenham,6.233333333333333,4.161666666666666,1.5466666666666666,0,D
7,Everton,Bournemouth,2.2516666666666665,3.736666666666667,2.9716666666666662,-2,A
7,Leicester,Man United,3.2083333333333335,3.4266666666666663,2.2466666666666666,-2,A
7,Man City,Norwich,1.0666666666666667,12.933333333333332,30.37,5,H
7,Newcastle,Liverpool,7.715,4.945,1.3949999999999998,-2,A
7,Southampton,Sheffield United,2.171666666666667,3.4399999999999995,3.351666666666666,2,H
7,West Ham,Aston Villa,3.0450000000000004,3.553333333333334,2.293333333333333,0,D
8,Man United,Leicester,1.5616666666666668,3.905,7.083333333333333,1,H
8,Bournemouth,Cardiff,1.8949999999999996,3.5383333333333336,4.388333333333333,2,H
8,Fulham,Crystal Palace,2.466666666666667,3.36,2.9499999999999997,-2,A
8,Huddersfield,Chelsea,6.276666666666666,3.97,1.59,-3,A
8,Newcastle,Tottenham,3.821666666666666,3.42,2.0533333333333332,-1,A
8,Watford,Brighton,2.355,3.1700000000000004,3.355,2,H
8,Wolves,Everton,2.3349999999999995,3.2916666666666665,3.2466666666666666,0,D
8,Arsenal,Man City,3.8333333333333335,3.8200000000000003,1.9416666666666667,-2,A
8,Liverpool,West Ham,1.245,6.283333333333334,12.875,4,H
8,Southampton,Burnley,1.8316666666666668,3.4599999999999995,4.873333333333334,0,D
8,Cardiff,Newcastle,3.141666666666667,3.1033333333333335,2.5050000000000003,0,D
8,Chelsea,Arsenal,1.8066666666666666,3.8866666666666667,4.36,1,H
8,Everton,Southampton,1.92,3.4183333333333334,4.426666666666667,1,H
8,Leicester,Wolves,2.048333333333334,3.4600000000000004,3.8000000000000003,2,H
8,Tottenham,Fulham,1.2750000000000001,6.048333333333333,11.073333333333332,2,H
8,West Ham,Bournemouth,2.0816666666666666,3.5500000000000003,3.6316666666666664,-1,A
8,Brighton,Man United,5.295000000000001,3.5766666666666667,1.7516666666666667,1,H
8,Burnley,Watford,2.416666666666667,3.08,3.311666666666667,-2,A
8,Man City,Huddersfield,1.0783333333333334,12.148333333333333,30.28333333333333,5,H
8,Crystal Palace,Liverpool,6.848333333333334,4.848333333333334,1.445,-2,A
8,Arsenal,West Ham,1.37,5.261666666666667,8.253333333333332,2,H
8,Bournemouth,Everton,2.5833333333333335,3.546666666666667,2.7066666666666666,0,D
8,Huddersfield,Cardiff,2.323333333333333,3.0666666666666664,3.555,0,D
